키,전략명,전체이름,계열,상태,매수·매도 조건,파라미터,테스트기간,평균수익률_퍼센트,가장나빴던해_퍼센트,최대낙폭_퍼센트,샤프,손익비,거래수,판정,판정이유
ma_rsi_v1,이평+RSI 20/60,이동평균+RSI 복합 (20/60/14),복합,live,"단기선 상향돌파+거래량급증 또는 RSI 과매도반등 매수, 단기선 하향이탈/RSI 과매수 매도.",sma_short=20; sma_long=60; rsi_period=14; volume_ma_window=20; volume_surge_ratio=1.5; rsi_oversold=30; rsi_overbought=80; rsi_buy_ceiling=70,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),7.7,-1.4,-22.5,0.56,1.19,441,조건부,가장 처음 만든 전략입니다. 2024년 -1.4% 하나만 마이너스이고 나머지 네 해는 플러스입니다. 평균 +7.7%로 낮고 최대낙폭이 -22.5%로 깊습니다.
ma_rsi_fast5_20,이평+RSI 5/20,이동평균+RSI 단타형 (5/20/7),복합,hypothesis,"같은 규칙, 창을 5/20/7로 좁혀 더 짧은 주기에 반응. 신호가 잦아지는 대신 헛신호도 늘어난다.",sma_short=5; sma_long=20; rsi_period=7; volume_ma_window=5; volume_surge_ratio=1.5; rsi_oversold=30; rsi_overbought=80; rsi_buy_ceiling=70,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),10.9,5.1,-14.0,0.92,1.31,595,쓸만함,최악의 해가 +5.1%로 2위입니다. 최대낙폭도 -14.0%로 얕은 편입니다. 다만 평균이 +10.9%로 낮고 샤프가 0.92로 1 아래입니다. 많이 벌지는 못하지만 어느 해에도 잃지 않은 전략입니다.
ma_rsi_loose_volume,이평+RSI 완화,이동평균+RSI 거래량완화 (1.2배),복합,hypothesis,거래량 급증 기준을 1.5배→1.2배로 낮춰 진입 빈도/승률 트레이드오프 확인.,sma_short=20; sma_long=60; rsi_period=14; volume_ma_window=20; volume_surge_ratio=1.2; rsi_oversold=30; rsi_overbought=80; rsi_buy_ceiling=70,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),5.7,-12.5,-26.7,0.38,1.1,601,조건부,ma_rsi_v1의 거래량 조건을 푼 것입니다. 조건을 풀어 거래가 441건에서 601건으로 늘었는데 평균은 +7.7%에서 +5.7%로 떨어지고 최악은 -1.4%에서 -12.5%로 나빠졌습니다. 거래량 조건이 일을 하고 있었다는 뜻입니다.
golden_cross_20_60,골든크로스 20/60,골든크로스 (20/60),추세추종,hypothesis,"단기 이동평균선이 장기선을 상향돌파하면 매수, 하향이탈하면 매도. 가장 고전적인 추세추종.",sma_short=20; sma_long=60,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),36.3,-13.7,-23.7,0.92,2.02,140,조건부,평균 +36.3%로 3위이고 손익비 2.02는 전체 1위입니다. 2023년 +103.8%가 평균의 대부분을 만들었습니다. 5년에 140거래뿐이라 표본이 얇습니다.
golden_cross_5_20,골든크로스 5/20,골든크로스 단타형 (5/20),추세추종,hypothesis,같은 규칙을 5/20으로 좁힌 단기 버전. 신호가 훨씬 잦다.,sma_short=5; sma_long=20,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),3.8,-30.8,-31.4,0.01,0.94,435,안씀,가장 널리 알려진 신호인데 2022년 -30.8%입니다. 손익비 0.94로 잃는 쪽이 큽니다. 짧은 선일수록 잡음이 많습니다.
ema_cross_12_26,EMA 교차,EMA 교차 (12/26),추세추종,hypothesis,지수이동평균 교차: 최근 가격에 가중치를 줘 단순이동평균보다 빠르게 반응.,ema_short=12; ema_long=26,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),14.2,-18.1,-24.8,0.45,1.03,255,조건부,평균 +14.2%인데 2025년 +69.4% 한 해가 그 대부분입니다. 나머지 네 해 중 셋이 마이너스이고 2022년은 -18.1%입니다. 손익비 1.03으로 버는 것과 잃는 것이 거의 같습니다.
macd_cross,MACD 교차,MACD 신호선 교차 (12/26/9),추세추종,hypothesis,"MACD선이 신호선을 상향돌파하면 매수, 하향이탈하면 매도. 가장 널리 쓰이는 추세 지표.",fast=12; slow=26; signal=9; require_positive_macd=False,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),28.9,-13.5,-29.4,1.09,1.64,554,조건부,"평균 +28.9%와 손익비 1.64로 상위권입니다. 최악은 2024년 -13.5%입니다. 다만 최대낙폭이 -29.4%로 깊어, 연중에 계좌가 30% 가까이 줄었다 회복한 해가 있습니다."
macd_cross_positive,MACD 교차 (0선 위),MACD 교차 + 0선 위 필터,추세추종,hypothesis,MACD가 0보다 클 때(이미 상승 국면)의 교차만 매수: 하락장 중 반짝 반등을 걸러낸다.,fast=12; slow=26; signal=9; require_positive_macd=True,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),-2.7,-20.8,-21.5,-0.27,0.87,446,안씀,"MACD가 0 위일 때만 사도록 조인 것입니다. 조이지 않은 쪽(평균 +28.9%, 최악 -13.5%)보다 평균이 -2.7%로 떨어지고 최악도 -20.8%로 나빠졌습니다. 조건을 더하면 나아진다는 기대가 틀린 예입니다."
donchian_20_10,돈치안 20/10,돈치안 돌파 (20일 진입/10일 청산),추세추종,hypothesis,"20일 신고가 돌파 매수, 10일 신저가 이탈 매도. 이른바 터틀 트레이딩 규칙.",entry_window=20; exit_window=10; adx_filter=0.0,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),25.5,-26.4,-27.5,0.69,1.51,299,안씀,신고가에 사서 신저가에 파는 방식입니다. 2022년 -26.4%입니다. 방향이 자주 바뀌는 장에서 사자마자 팔기를 반복해 깎입니다.
donchian_adx_filter,돈치안 + 추세강도,돈치안 돌파 + 추세강도(ADX) 필터,추세추종,hypothesis,ADX 25 이상(추세장)일 때만 돌파 매수: 횡보장의 가짜 돌파를 걸러낸다.,entry_window=20; exit_window=10; adx_filter=25,2021~2025 (연도별로 각각 실행하고 평균·최악을 냄),16.1,-28.1,-28.1,0.25,1.37,216,안씀,위에 추세 강도 필터를 더한 것입니다. 최악은 -26.4%에서 -28.1%로 오히려 나빠졌고 평균만 +25.5%에서 +16.1%로 줄었습니다. 필터가 좋은 매매를 먼저 잘라 냈습니다.
